0.0042853041,0.0045323440,0.0048776468,0.0053142004,0.0058403052,0.0064561447,0.0071627350,0.0079614460,0.0088537285,0.0098409256,0.0109241229,0.0121040128,0.0133807607,0.0147538625,0.0162219889,0.0177828096,0.0194327932,0.0211669792,0.0229787191,0.0248593888,0.0267980769,0.0288001041,0.0308609337,0.0329302246,0.0349850963,0.0369994890,0.0389446040,0.0407898063,0.0425040825,0.0440580576,0.0454264216,0.0465904309
0.0043286242,0.0045909226,0.0049543021,0.0054119792,0.0059625055,0.0066063410,0.0073448049,0.0081796007,0.0091125445,0.0101453798,0.0112796287,0.0125164582,0.0138565451,0.0152999324,0.0168458675,0.0184926164,0.0202372457,0.0220753670,0.0240008361,0.0260054022,0.0280783078,0.0302844356,0.0326562915,0.0350446394,0.0374242411,0.0397654819,0.0420346137,0.0441946046,0.0462068076,0.0480335620,0.0496416100,0.0510058561
0.0043719064,0.0046489333,0.0050297181,0.0055077054,0.0060816998,0.0067524415,0.0075215608,0.0083911063,0.0093632776,0.0104402435,0.0116239981,0.0129162302,0.0143181925,0.0158305596,0.0174532665,0.0191853192,0.0210245668,0.0229674271,0.0250085516,0.0271404204,0.0293528544,0.0317851217,0.0345163458,0.0372755007,0.0400353663,0.0427628678,0.0454189100,0.0479589398,0.0503346602,0.0524972635,0.0544022304,0.0560151033
0.0044140330,0.0047049864,0.0051021973,0.0055993333,0.0061954474,0.0068915575,0.0076896046,0.0085919857,0.0096012914,0.0107201297,0.0119509887,0.0132961131,0.0147573797,0.0163361637,0.0180331829,0.0198483134,0.0217803625,0.0238267880,0.0259833453,0.0282436437,0.0305985884,0.0332721431,0.0363969027,0.0395650535,0.0427481773,0.0459103055,0.0490070300,0.0519853514,0.0547850069,0.0573421550,0.0595959881,0.0614977606
0.0044538858,0.0047577005,0.0051700592,0.0056848415,0.0063013383,0.0070208351,0.0078455744,0.0087782946,0.0098219725,0.0109796555,0.0122543317,0.0136488156,0.0151656357,0.0168069116,0.0185742125,0.0204683857,0.0224893442,0.0246357952,0.0269048912,0.0292917757,0.0317889880,0.0347135082,0.0382571377,0.0418640496,0.0455059476,0.0491452715,0.0527331882,0.0787080420,0.0819953702,0.0850112508,0.0876708886,0.0899028440
0.0044903846,0.0048057465,0.0052316907,0.0057622922,0.0063970624,0.0071375363,0.0079862397,0.0089462332,0.0100208628,0.0112135982,0.0125279139,0.0139671863,0.0155345943,0.0172330135,0.0190648937,0.0210321105,0.0231357783,0.0253760079,0.0277515864,0.0302595484,0.0328945931,0.0360738217,0.0400533223,0.0441203708,0.0482487070,0.0524014720,0.0565277295,0.0880586229,0.0919044140,0.0954553159,0.0985908795,0.1012019733
0.0045225228,0.0048478900,0.0052855963,0.0058298900,0.0064804791,0.0072391216,0.0081085985,0.0090922629,0.0101937968,0.0114170592,0.0127659760,0.0142444505,0.0158562791,0.0176050649,0.0194941189,0.0215263414,0.0237040708,0.0260288870,0.0285013450,0.0311206100,0.0338839449,0.0373147321,0.0417378586,0.0462763128,0.0509082364,0.0556008132,0.0603053057,0.0974502009,0.1019329683,0.1061136918,0.1098197602,0.1128764878
0.0045494021,0.0048830318,0.0053304459,0.0058860386,0.0065496838,0.0073233293,0.0082099734,0.0092132197,0.0103370404,0.0115856320,0.0129633153,0.0144744581,0.0161234070,0.0179144202,0.0198515948,0.0219387803,0.0241794708,0.0265766628,0.0291326619,0.0318488128,0.0347251092,0.0383964823,0.0432604380,0.0482690278,0.0534071225,0.0586498550,0.0639568951,0.1067629913,0.1119629395,0.1168909032,0.1213043948,0.1249107443
0.0045702630,0.0049102440,0.0053651174,0.0059293914,0.0066030698,0.0073882493,0.0082880996,0.0093064227,0.0104474215,0.0117155621,0.0131154831,0.0146519283,0.0163296930,0.0181535745,0.0201283235,0.0222585883,0.0245488493,0.0270033329,0.0296258961,0.0324198636,0.0353877894,0.0392804912,0.0445710022,0.0500337597,0.0556617682,0.0614412254,0.0673466011,0.1158311736,0.1218081386,0.1276129263,0.1715741116,0.1759198935
0.0045845115,0.0049288016,0.0053887346,0.0059588968,0.0066393814,0.0074323876,0.0083412037,0.0093697690,0.0105224469,0.0118038918,0.0132189648,0.0147726745,0.0164701338,0.0183165246,0.0203170664,0.0224769864,0.0248014860,0.0272957029,0.0299646599,0.0328131971,0.0358458721,0.0399327856,0.0456243212,0.0515099492,0.0575902803,0.0638628640,0.0703196173,0.1244412635,0.1311839931,0.1379433356,0.1876264132,0.1931191449
0.0045917396,0.0049382070,0.0054006962,0.0059738331,0.0066577565,0.0074547180,0.0083680663,0.0094018111,0.0105603980,0.0118485783,0.0132713276,0.0148337915,0.0165412477,0.0183990778,0.0204127468,0.0225877858,0.0249297780,0.0274443461,0.0301371398,0.0330138226,0.0360800557,0.0403277820,0.0463855128,0.0526494862,0.0591249794,0.0658169033,0.0727294543,0.1323653101,0.1397234820,0.1472922215,0.2027432786,0.2102276037
0.0045917396,0.0049382070,0.0054006962,0.0059738331,0.0066577565,0.0074547180,0.0083680663,0.0094018111,0.0105603980,0.0118485783,0.0132713276,0.0148337915,0.0165412477,0.0183990778,0.0204127468,0.0225877858,0.0249297780,0.0274443461,0.0301371398,0.0330138226,0.0360800557,0.0403277820,0.0463855128,0.0526494862,0.0591249794,0.0658169033,0.0727294543,0.1323653101,0.1397234820,0.1472922215,0.2027432786,0.2102276037
0.0045845115,0.0049288016,0.0053887346,0.0059588968,0.0066393814,0.0074323876,0.0083412037,0.0093697690,0.0105224469,0.0118038918,0.0132189648,0.0147726745,0.0164701338,0.0183165246,0.0203170664,0.0224769864,0.0248014860,0.0272957029,0.0299646599,0.0328131971,0.0358458721,0.0399327856,0.0456243212,0.0515099492,0.0575902803,0.0638628640,0.0703196173,0.1244412635,0.1311839931,0.1379433356,0.1876264132,0.1931191449
0.0045702630,0.0049102440,0.0053651174,0.0059293914,0.0066030698,0.0073882493,0.0082880996,0.0093064227,0.0104474215,0.0117155621,0.0131154831,0.0146519283,0.0163296930,0.0181535745,0.0201283235,0.0222585883,0.0245488493,0.0270033329,0.0296258961,0.0324198636,0.0353877894,0.0392804912,0.0445710022,0.0500337597,0.0556617682,0.0614412254,0.0673466011,0.1158311736,0.1218081386,0.1276129263,0.1715741116,0.1759198935
0.0045494021,0.0048830318,0.0053304459,0.0058860386,0.0065496838,0.0073233293,0.0082099734,0.0092132197,0.0103370404,0.0115856320,0.0129633153,0.0144744581,0.0161234070,0.0179144202,0.0198515948,0.0219387803,0.0241794708,0.0265766628,0.0291326619,0.0318488128,0.0347251092,0.0383964823,0.0432604380,0.0482690278,0.0534071225,0.0586498550,0.0639568951,0.1067629913,0.1119629395,0.1168909032,0.1213043948,0.1249107443
0.0045225228,0.0048478900,0.0052855963,0.0058298900,0.0064804791,0.0072391216,0.0081085985,0.0090922629,0.0101937968,0.0114170592,0.0127659760,0.0142444505,0.0158562791,0.0176050649,0.0194941189,0.0215263414,0.0237040708,0.0260288870,0.0285013450,0.0311206100,0.0338839449,0.0373147321,0.0417378586,0.0462763128,0.0509082364,0.0556008132,0.0603053057,0.0974502009,0.1019329683,0.1061136918,0.1098197602,0.1128764878
0.0044903846,0.0048057465,0.0052316907,0.0057622922,0.0063970624,0.0071375363,0.0079862397,0.0089462332,0.0100208628,0.0112135982,0.0125279139,0.0139671863,0.0155345943,0.0172330135,0.0190648937,0.0210321105,0.0231357783,0.0253760079,0.0277515864,0.0302595484,0.0328945931,0.0360738217,0.0400533223,0.0441203708,0.0482487070,0.0524014720,0.0565277295,0.0880586229,0.0919044140,0.0954553159,0.0985908795,0.1012019733
0.0044538858,0.0047577005,0.0051700592,0.0056848415,0.0063013383,0.0070208351,0.0078455744,0.0087782946,0.0098219725,0.0109796555,0.0122543317,0.0136488156,0.0151656357,0.0168069116,0.0185742125,0.0204683857,0.0224893442,0.0246357952,0.0269048912,0.0292917757,0.0317889880,0.0347135082,0.0382571377,0.0418640496,0.0455059476,0.0491452715,0.0527331882,0.0787080420,0.0819953702,0.0850112508,0.0876708886,0.0899028440
0.0044140330,0.0047049864,0.0051021973,0.0055993333,0.0061954474,0.0068915575,0.0076896046,0.0085919857,0.0096012914,0.0107201297,0.0119509887,0.0132961131,0.0147573797,0.0163361637,0.0180331829,0.0198483134,0.0217803625,0.0238267880,0.0259833453,0.0282436437,0.0305985884,0.0332721431,0.0363969027,0.0395650535,0.0427481773,0.0459103055,0.0490070300,0.0519853514,0.0547850069,0.0573421550,0.0595959881,0.0614977606
0.0043719064,0.0046489333,0.0050297181,0.0055077054,0.0060816998,0.0067524415,0.0075215608,0.0083911063,0.0093632776,0.0104402435,0.0116239981,0.0129162302,0.0143181925,0.0158305596,0.0174532665,0.0191853192,0.0210245668,0.0229674271,0.0250085516,0.0271404204,0.0293528544,0.0317851217,0.0345163458,0.0372755007,0.0400353663,0.0427628678,0.0454189100,0.0479589398,0.0503346602,0.0524972635,0.0544022304,0.0560151033
0.0043286242,0.0045909226,0.0049543021,0.0054119792,0.0059625055,0.0066063410,0.0073448049,0.0081796007,0.0091125445,0.0101453798,0.0112796287,0.0125164582,0.0138565451,0.0152999324,0.0168458675,0.0184926164,0.0202372457,0.0220753670,0.0240008361,0.0260054022,0.0280783078,0.0302844356,0.0326562915,0.0350446394,0.0374242411,0.0397654819,0.0420346137,0.0441946046,0.0462068076,0.0480335620,0.0496416100,0.0510058561
0.0042853041,0.0045323440,0.0048776468,0.0053142004,0.0058403052,0.0064561447,0.0071627350,0.0079614460,0.0088537285,0.0098409256,0.0109241229,0.0121040128,0.0133807607,0.0147538625,0.0162219889,0.0177828096,0.0194327932,0.0211669792,0.0229787191,0.0248593888,0.0267980769,0.0288001041,0.0308609337,0.0329302246,0.0349850963,0.0369994890,0.0389446040,0.0407898063,0.0425040825,0.0440580576,0.0454264216,0.0465904309
